,encounter_id,patient_nbr,admission_type_id,discharge_disposition_id,admission_source_id,time_in_hospital,num_lab_procedures,num_procedures,num_medications,number_outpatient,number_emergency,number_inpatient,number_diagnoses
encounter_id,1.0,0.3616051286274213,-0.09346370680088302,-0.17167046205532824,-0.11778776990790886,-0.04272814506610697,-0.18722314554712574,-0.039171929486554354,0.010392823667720647,0.08576456844456769,0.09898429125251151,0.010387177841860037,0.0929480659922735
patient_nbr,0.3616051286274213,1.0,0.1308627581361079,-0.1672337373823208,0.02031958281450053,-0.0015154432722037936,-0.025775407167088503,-0.02290391332699378,-0.002477694015187079,0.115790315918654,0.06073094834087127,0.022368274029188152,0.15092508050707107
admission_type_id,-0.09346370680088302,0.1308627581361079,1.0,0.11044762437445384,0.3076575476456009,-0.025534801515782832,-0.16016474857436205,0.08104530572875737,0.1061951669836598,0.11224488962949859,0.02801368394708947,-0.02437428001584698,-0.04747928282970302
discharge_disposition_id,-0.17167046205532824,-0.1672337373823208,0.11044762437445384,1.0,0.011538974164173045,0.1437157463247501,-0.016257019620880983,0.024870196436861187,0.10200370401488837,-0.015004844174066001,-0.02250178571258692,0.015265094617046582,0.06843574941234902
admission_source_id,-0.11778776990790886,0.02031958281450053,0.3076575476456009,0.011538974164173045,1.0,-0.03196335564214263,-0.07675147063419469,-0.14852369329763343,-0.0280756965323513,0.1546714223197659,0.11096003061785163,0.03977431514434551,0.11300714654696173
time_in_hospital,-0.04272814506610697,-0.0015154432722037936,-0.025534801515782832,0.1437157463247501,-0.03196335564214263,1.0,0.2617110559289009,0.22967738907812196,0.4572195428550166,-0.019828860952337993,-0.015336043359239437,0.08076872269750678,0.26439210459063317
num_lab_procedures,-0.18722314554712574,-0.025775407167088503,-0.16016474857436205,-0.016257019620880983,-0.07675147063419469,0.2617110559289009,1.0,0.09667708775201489,0.21799110279522518,-0.05344693160794887,-0.04381846081802115,0.04229832077030656,0.10395784541643546
num_procedures,-0.039171929486554354,-0.02290391332699378,0.08104530572875737,0.024870196436861187,-0.14852369329763343,0.22967738907812196,0.09667708775201489,1.0,0.4317625852709328,-0.020180664882598714,-0.035948233806945444,-0.060820809099751225,0.10575872926840064
num_medications,0.010392823667720647,-0.002477694015187079,0.1061951669836598,0.10200370401488837,-0.0280756965323513,0.4572195428550166,0.21799110279522518,0.4317625852709328,1.0,0.03705533581365033,0.01687128387738563,0.051954651417557327,0.2527356730504676
number_outpatient,0.08576456844456769,0.115790315918654,0.11224488962949859,-0.015004844174066001,0.1546714223197659,-0.019828860952337993,-0.05344693160794887,-0.020180664882598714,0.03705533581365033,1.0,0.12353441245930978,0.0881493725581006,0.08655635286260319
number_emergency,0.09898429125251151,0.06073094834087127,0.02801368394708947,-0.02250178571258692,0.11096003061785163,-0.015336043359239437,-0.04381846081802115,-0.035948233806945444,0.01687128387738563,0.12353441245930978,1.0,0.23990156794951786,0.048455811137767764
number_inpatient,0.010387177841860037,0.022368274029188152,-0.02437428001584698,0.015265094617046582,0.03977431514434551,0.08076872269750678,0.04229832077030656,-0.060820809099751225,0.051954651417557327,0.0881493725581006,0.23990156794951786,1.0,0.12140174624320972
number_diagnoses,0.0929480659922735,0.15092508050707107,-0.04747928282970302,0.06843574941234902,0.11300714654696173,0.26439210459063317,0.10395784541643546,0.10575872926840064,0.2527356730504676,0.08655635286260319,0.048455811137767764,0.12140174624320972,1.0
